CustomerID,CustomerName,SignupDate,TotalValue,Quantity,Region_Europe,Region_North America,Region_South America,Cluster
C0001,Lawrence Carroll,2022-07-10,-0.0518843563869403,-0.11073510319558298,0,0,1,0
C0002,Elizabeth Lutz,2022-02-13,-0.8627143270222414,-0.4340492731096936,0,0,0,0
C0003,Michael Rivera,2024-03-07,-0.3938419960693958,0.21257906671852767,0,0,1,0
C0004,Kathleen Rodriguez,2022-10-09,1.035375051877033,1.6674928313320256,0,0,1,1
C0005,Laura Weber,2022-08-15,-0.7694986115923831,-0.9190205279808596,0,0,0,0
C0006,Brittany Palmer,2024-01-07,0.42264614131590383,-0.11073510319558298,0,0,1,0
C0007,Paul Graves,2022-06-18,-0.47295849483307056,-0.7573634430238043,0,0,0,0
C0008,David Li,2024-01-13,0.4465832848000494,1.1825215764608596,0,1,0,1
C0009,Joy Clark,2023-08-14,-1.387896559540879,-1.565648867809081,1,0,0,0
C0010,Aaron Cox,2022-12-15,-0.9416297189946095,-0.11073510319558298,1,0,0,0
C0011,Bryan Mathews,2022-12-12,0.15220098955826772,0.05092198176147235,0,0,1,0
C0012,Kevin May,2024-08-07,0.9681836423059592,1.0208644915038043,0,0,1,1
C0013,Lauren Buchanan,2024-05-19,1.386322708662753,0.859207406546749,0,0,1,1
C0014,Deborah Wilcox,2024-06-22,-1.7019710143746363,-1.7273059527661363,1,0,0,0
C0015,Tina Duran,2023-11-20,-1.2460456125269757,-1.4039917828520256,0,1,0,0
C0016,Emily Woods,2024-01-03,0.23069786199197123,-0.4340492731096936,0,1,0,0
C0017,Jennifer King,2023-12-05,0.7086797870591282,1.344178661417915,1,0,0,1
C0018,Tyler Haynes,2024-09-21,0.7239149853302592,0.859207406546749,0,1,0,1
C0019,Brandon Rodriguez,2023-01-12,-0.6871100509809668,-0.2723921881526383,1,0,0,0
C0020,Mr. Manuel Conway,2024-06-11,-1.373813648830747,-1.565648867809081,0,1,0,0
C0021,Robert Blanchard,2023-04-17,1.0707263645974878,0.6975503215896937,0,0,0,1
C0022,Teresa Esparza,2023-10-27,0.6550060150550552,0.374236151675583,0,0,0,1
C0023,Nicholas Cain,2022-03-04,0.9287177933417494,0.21257906671852767,1,0,0,1
C0024,Michele Cooley,2024-02-05,0.09622807775088105,0.21257906671852767,0,1,0,0
C0025,Gregory Odom,2022-07-04,-1.0110604798634732,-0.7573634430238043,0,0,1,0
C0026,Sara Miller,2024-05-03,0.053848897972070334,-0.11073510319558298,0,1,0,0
C0027,Justin Heath,2022-11-09,-0.4821333127715894,-0.11073510319558298,0,0,0,0
C0028,Jennifer Pena,2024-06-29,1.831480744197495,1.829149916289081,0,0,0,1
C0029,Erin Manning,2022-04-16,-0.904495621745817,-0.4340492731096936,0,1,0,0
C0030,Mark Brock,2024-01-30,-0.4893405453465159,0.05092198176147235,0,1,0,0
C0031,Tina Miller,2024-04-11,-0.7851849413142822,-0.4340492731096936,0,0,1,0
C0032,Dustin Campbell,2024-04-17,-1.5093759321273126,-1.2423346978949703,0,0,1,0
C0033,Tyler Holt,2024-08-04,-1.8030788125335997,-1.7273059527661363,0,1,0,0
C0034,Dalton Perez,2023-09-27,-0.20479074160401184,0.6975503215896937,0,1,0,0
C0035,Brianna Richardson,2024-10-01,-0.468724381578268,-0.4340492731096936,0,1,0,0
C0036,Brian Aguilar DDS,2024-07-06,-0.8544417719852593,-0.7573634430238043,0,1,0,0
C0037,Linda Smith,2023-02-04,0.4363431443994753,0.21257906671852767,1,0,0,1
C0038,Jeffrey Perkins,2022-04-16,-0.40934896027472456,0.05092198176147235,0,1,0,0
C0039,Angela Harris,2024-10-13,0.4291848296927042,0.859207406546749,0,0,1,1
C0040,Michael Harrell,2022-03-07,0.2823225188521923,-0.4340492731096936,0,0,0,0
C0041,Lindsey Deleon,2023-12-27,1.4674285340647555,1.6674928313320256,1,0,0,1
C0042,Heather Riley,2023-03-15,-0.5693430010556757,-1.080677612937915,0,1,0,0
C0043,Sandy Short MD,2023-02-05,-1.2602644062042063,-1.080677612937915,0,0,0,0
C0044,Kenneth Alexander,2024-07-10,-0.1195051561340467,-0.9190205279808596,1,0,0,0
C0045,Michael Williams,2022-02-25,1.3978673255474772,1.6674928313320256,0,0,0,1
C0046,Beth Cardenas,2024-10-23,1.1837320753556326,1.0208644915038043,0,1,0,1
C0047,Samantha Frank,2024-03-22,-0.3149429100530796,0.05092198176147235,0,1,0,0
C0048,Matthew Park,2024-11-07,0.2179357337220405,-0.11073510319558298,0,0,1,0
C0049,Jason Yates,2024-09-18,-0.6166357089247833,0.6975503215896937,0,1,0,0
C0050,Ryan Davis,2024-03-02,-0.20716597586890112,-0.7573634430238043,0,1,0,0
C0051,Nicholas Ellis,2023-12-21,1.2227250515943382,0.5358932366326383,1,0,0,1
C0052,Stanley Aguirre,2024-02-20,-0.5228601556704773,-0.4340492731096936,0,0,1,0
C0053,Albert Burke,2022-06-18,1.0144925574932713,0.859207406546749,1,0,0,1
C0054,Bruce Rhodes,2024-09-29,2.4950353197723034,1.829149916289081,0,0,0,1
C0055,Lauren Williams,2024-11-11,-0.3219327298806478,-0.11073510319558298,0,1,0,0
C0056,Erika Fernandez,2024-04-12,-0.14514355436627052,-0.11073510319558298,0,0,0,0
C0057,Elizabeth Nguyen,2024-07-27,0.5905050882325403,0.5358932366326383,1,0,0,1
C0058,Zachary Turner,2024-01-28,-1.65974945883766,-1.8889630377231916,0,1,0,0
C0059,Mrs. Kimberly Wright,2024-04-07,1.9693802145281618,1.344178661417915,0,1,0,1
C0060,James Murphy,2022-04-22,-1.8304075948765341,-1.7273059527661363,1,0,0,0
C0061,Brandon Escobar,2023-03-06,-0.7129604266418648,-1.080677612937915,1,0,0,0
C0062,Jeffery Hartman,2022-12-14,-0.9840306400481562,-0.7573634430238043,1,0,0,0
C0063,Wayne Ferguson,2024-02-05,-1.126093564490734,-1.2423346978949703,1,0,0,0
C0064,Martha Montgomery,2023-10-22,0.32057085643119615,0.05092198176147235,1,0,0,0
C0065,Gerald Hines,2024-07-10,2.2902923002663367,2.314121171160247,0,1,0,1
C0066,Catherine White,2024-11-15,0.18985687740072,-0.595706358066749,1,0,0,0
C0067,Carl Gonzalez,2023-07-06,0.3483290289501634,0.21257906671852767,0,1,0,1
C0068,Mark Cox,2023-04-04,1.3590700207813937,1.5058357463749703,0,1,0,1
C0069,Stacy Foster,2023-12-03,-0.31051312532565484,-0.4340492731096936,1,0,0,0
C0070,Timothy Perez,2022-03-15,-0.17636946020560224,-0.11073510319558298,1,0,0,0
C0071,Taylor Murphy,2022-07-01,-1.113777132352888,-0.9190205279808596,0,0,1,0
C0072,Sarah Scott,2024-07-24,-0.24480012243661758,0.05092198176147235,0,1,0,0
C0073,Heidi Johnson,2022-08-20,-0.7552037234535768,-0.4340492731096936,1,0,0,0
C0074,Jonathan Russo,2022-05-27,-0.2145634445977661,-0.7573634430238043,1,0,0,0
C0075,Misty Higgins,2023-05-01,1.3039287127326524,2.475778256117302,1,0,0,1
C0076,Emily Roberts,2024-02-11,-0.6070804186783874,-0.2723921881526383,0,0,1,0
C0077,Scott Sims,2023-10-18,-1.4200736461499028,-0.9190205279808596,0,0,1,0
C0078,Julia Palmer,2024-11-13,-1.3340760339323392,-1.7273059527661363,0,0,0,0
C0079,Brian Murillo,2022-02-02,0.435685470838716,-0.11073510319558298,0,1,0,0
C0080,David Gonzalez,2024-02-07,-1.327553651511591,-1.565648867809081,0,0,0,0
C0081,Kimberly Turner,2024-02-24,0.05027789359671066,0.21257906671852767,1,0,0,0
C0082,Aimee Taylor,2022-05-13,2.2409450419346935,1.6674928313320256,0,0,1,1
C0083,Christina Stark,2022-04-07,-1.5257905945528618,-1.4039917828520256,0,0,1,0
C0084,Belinda Garner,2024-09-17,0.5387065011744329,1.1825215764608596,0,0,0,1
C0085,Richard Brown,2024-09-22,-0.4628977199490665,-0.9190205279808596,0,0,1,0
C0086,Stephanie Peterson,2022-09-18,-0.37791651232540263,0.05092198176147235,1,0,0,0
C0087,Travis Campbell,2024-04-11,1.71443659165717,1.5058357463749703,0,0,1,1
C0088,Carlos Murray,2023-05-14,-0.7145257984228444,-0.4340492731096936,0,0,0,0
C0089,Paul Carter,2024-04-02,-0.4857858469272082,-0.9190205279808596,1,0,0,0
C0090,Charles Hamilton,2023-10-17,0.37404895696264656,0.5358932366326383,0,0,0,1
C0091,Lisa Kirk,2023-03-16,-0.16975467736722682,1.1825215764608596,0,0,1,1
C0092,Jacqueline Zamora,2024-05-29,-0.2359079410696645,-0.4340492731096936,0,0,0,0
C0093,Nancy Walker,2024-07-13,1.002822928278816,1.0208644915038043,0,0,0,1
C0094,Emily Trevino,2023-09-16,-1.2408874950959006,-0.595706358066749,0,1,0,0
C0095,William Walker,2023-03-04,-1.177131206933088,-1.2423346978949703,0,0,1,0
C0096,Benjamin Mcclure,2022-11-18,1.425652674659864,0.5358932366326383,0,0,1,1
C0097,Tina Ford,2023-12-18,-1.800415506378461,-1.8889630377231916,0,0,0,0
C0098,Laura Gilbert,2024-10-21,-0.1586883685266908,0.21257906671852767,0,1,0,0
C0099,Rodney Eaton,2023-01-29,1.7750349596646042,1.344178661417915,0,0,1,1
C0100,Clinton Gomez,2023-03-16,0.8443616473667407,0.21257906671852767,1,0,0,1
C0101,Kelsey Roberts,2023-09-30,1.1419670865881089,1.1825215764608596,0,0,0,1
C0102,Michael Atkinson,2022-09-16,1.4579602089173032,1.344178661417915,0,0,1,1
C0103,Jennifer Munoz,2022-05-15,-0.5366984770398314,-0.9190205279808596,1,0,0,0
C0104,Laura Bennett,2022-02-10,1.7007776358043871,1.344178661417915,0,0,1,1
C0105,Ryan Hampton,2024-11-11,0.7378294011611882,0.5358932366326383,1,0,0,1
C0106,Amanda Mcguire,2022-09-22,-0.27756965878219286,0.05092198176147235,0,0,0,0
C0107,Dana Cantrell,2023-02-07,0.0945431289588545,-0.11073510319558298,0,0,1,0
C0108,David Davis,2022-09-28,0.7601631256335667,0.5358932366326383,0,0,1,1
C0109,Abigail Jones,2022-05-09,1.1073223652965687,3.1224065959455234,0,1,0,1
C0110,Elizabeth Wells,2024-09-21,-1.3629919293309891,-1.4039917828520256,0,0,0,0
C0111,Roger David,2024-11-13,-0.8027736325755663,0.5358932366326383,1,0,0,0
C0112,Brian Adkins,2022-07-07,-0.8101167481175919,-0.7573634430238043,0,0,1,0
C0113,Joseph Ortiz Jr.,2022-06-17,0.7403568243492284,1.5058357463749703,0,0,1,1
C0114,Benjamin Anderson,2024-11-18,1.266675038472813,0.859207406546749,1,0,0,1
C0115,Joshua Hamilton,2024-11-11,-0.17001557266405676,-0.7573634430238043,0,0,0,0
C0116,James Martinez,2024-09-11,-0.3757423848518197,-0.2723921881526383,0,1,0,0
C0117,Jeffrey Mcmahon,2024-11-22,0.31432023994464614,-0.11073510319558298,0,1,0,0
C0118,Jacob Holt,2022-01-22,-0.00826592394818758,-0.4340492731096936,0,0,1,0
C0119,David Armstrong,2023-11-13,-1.2274948698586314,-1.080677612937915,1,0,0,0
C0120,Francisco Diaz,2023-01-13,-0.5326382939829156,-0.595706358066749,0,0,1,0
C0121,Mark Atkinson,2023-07-23,-1.3454902031686484,-0.7573634430238043,1,0,0,0
C0122,Corey Ruiz,2022-05-06,0.8819196994728821,0.6975503215896937,0,1,0,1
C0123,Jason Johnston,2023-11-05,-1.1141956518915526,-1.4039917828520256,0,0,0,0
C0124,Lindsay Perez,2024-08-26,0.442626372798129,1.0208644915038043,1,0,0,1
C0125,Nicholas Taylor,2022-12-18,-0.2587308442235988,-0.4340492731096936,0,1,0,0
C0126,Caitlin Brown,2024-02-20,0.6063599128336422,0.05092198176147235,0,0,1,1
C0127,Kathryn Stevens,2024-04-04,-0.11799957285859045,-0.2723921881526383,1,0,0,0
C0128,Henry Leach,2023-05-29,-1.4549194742327498,-1.565648867809081,0,0,0,0
C0129,Marcus Livingston,2024-04-14,-0.6035202849403956,-0.595706358066749,0,0,1,0
C0130,Robert Jones,2023-04-19,-1.5483145551791786,-1.7273059527661363,0,0,1,0
C0131,Scott Wilson,2022-06-05,-0.81864476313272,-0.9190205279808596,0,1,0,0
C0132,Lisa Jackson,2023-02-01,-0.8689540728714239,-0.7573634430238043,1,0,0,0
C0133,Gwendolyn Carter,2023-03-11,-0.3074476055879033,-0.2723921881526383,0,0,1,0
C0134,Theresa Gonzalez,2022-02-19,-0.4188988152024364,0.5358932366326383,0,0,0,0
C0135,Toni Weaver,2022-08-23,-0.1708852236534898,-0.4340492731096936,1,0,0,0
C0136,Kristen Holder,2024-03-14,0.46146518735672304,1.344178661417915,0,0,0,1
C0137,Robert Gardner,2024-04-09,-0.06382575153559343,-0.2723921881526383,0,0,1,0
C0138,Cynthia Clayton,2024-11-01,1.1741767851092366,0.6975503215896937,0,0,0,1
C0139,Ricky Gutierrez,2022-03-14,0.13787348950735764,0.05092198176147235,0,1,0,0
C0140,Gregory Estrada,2023-07-01,-0.8489086175649914,-1.2423346978949703,0,0,0,0
C0141,Paul Parsons,2023-02-23,3.926415624554947,2.314121171160247,1,0,0,1
C0142,Nicole Long DVM,2024-02-08,-0.6581832849449487,-0.2723921881526383,0,0,0,0
C0143,Brian Parker,2024-05-27,1.4102761581029504,1.344178661417915,0,0,0,1
C0144,Andrea Hart,2024-09-30,-1.1660377214991322,-0.7573634430238043,0,1,0,0
C0145,Wayne Stone,2023-01-13,1.2616962865583086,1.1825215764608596,0,0,0,1
C0146,Brittany Harvey,2024-09-04,-0.4778611522859993,-0.7573634430238043,0,0,0,0
C0147,Hunter Fuller,2022-05-16,-0.27260177750505643,0.21257906671852767,0,0,1,0
C0148,Matthew Rogers,2023-04-16,1.091309916453632,0.859207406546749,0,0,1,1
C0149,Tina Wilson,2023-01-21,0.5189654237143015,0.374236151675583,1,0,0,1
C0150,Angela Williams,2022-09-13,-1.5597395950528556,-1.7273059527661363,0,0,1,0
C0151,Amber Gonzalez,2024-11-22,-1.7534434823117067,-1.4039917828520256,0,0,1,0
C0152,Justin Evans,2022-04-19,-0.03485006763142024,-0.4340492731096936,0,0,1,0
C0153,Justin Smith,2022-03-20,0.7037716942875153,0.6975503215896937,0,0,1,1
C0154,Robert Sharp,2024-10-27,0.1378571835513059,-0.2723921881526383,0,1,0,0
C0155,Michelle Brown,2023-03-23,1.0478491082567138,0.6975503215896937,0,0,1,1
C0156,William Adams,2023-08-19,2.2743939931157633,2.475778256117302,0,1,0,1
